Index,Date,Customer_Names,Lemonades
1,2025-01-01,Ali,15
2,2025-01-02,Hira,3
3,2025-01-03,Daniyal,5
4,2025-01-04,Bilal,7
5,2025-01-05,Noor,5
6,2025-01-06,Laiba,7
7,2025-01-07,Taha,12
8,2025-01-08,Daniyal,1
9,2025-01-09,Ayesha,2
10,2025-01-10,Hassan,13
11,2025-01-11,Saad,1
12,2025-01-12,Daniyal,3
13,2025-01-13,Zain,7
14,2025-01-14,Ali,11
15,2025-01-15,Ahmed,15
16,2025-01-16,Hamza,2
17,2025-01-17,Maryam,6
18,2025-01-18,Usman,7
19,2025-01-19,Maryam,3
20,2025-01-20,Anaya,10
21,2025-01-21,Daniyal,15
22,2025-01-22,Anaya,1
23,2025-01-23,Hira,5
24,2025-01-24,Fatima,14
25,2025-01-25,Laiba,9
26,2025-01-26,Zain,4
27,2025-01-27,Hassan,5
28,2025-01-28,Abdullah,9
29,2025-01-29,Usman,1
30,2025-01-30,Hira,15
31,2025-01-31,Ahmed,9
32,2025-02-01,Usman,8
33,2025-02-02,Ayesha,4
34,2025-02-03,Noor,11
35,2025-02-04,Abdullah,13
36,2025-02-05,Hassan,10
37,2025-02-06,Noor,6
38,2025-02-07,Noor,9
39,2025-02-08,Laiba,1
40,2025-02-09,Taha,1
41,2025-02-10,Hassan,14
42,2025-02-11,Ahmed,6
43,2025-02-12,Usman,9
44,2025-02-13,Bilal,7
45,2025-02-14,Abdullah,2
46,2025-02-15,Noor,8
47,2025-02-16,Anaya,9
48,2025-02-17,Sara,7
49,2025-02-18,Fatima,15
50,2025-02-19,Hassan,15
51,2025-02-20,Hamza,8
52,2025-02-21,Abdullah,15
53,2025-02-22,Taha,14
54,2025-02-23,Hira,14
55,2025-02-24,Iqra,10
56,2025-02-25,Hira,15
57,2025-02-26,Hira,13
58,2025-02-27,Abdullah,2
59,2025-02-28,Hira,10
60,2025-03-01,Abdullah,3
61,2025-03-02,Hira,13
62,2025-03-03,Fatima,10
63,2025-03-04,Laiba,13
64,2025-03-05,Fatima,13
65,2025-03-06,Maryam,12
66,2025-03-07,Noor,13
67,2025-03-08,Hira,5
68,2025-03-09,Zain,13
69,2025-03-10,Ahmed,13
70,2025-03-11,Usman,11
71,2025-03-12,Laiba,6
72,2025-03-13,Fatima,15
73,2025-03-14,Daniyal,12
74,2025-03-15,Sara,1
75,2025-03-16,Hira,10
76,2025-03-17,Saad,4
77,2025-03-18,Daniyal,10
78,2025-03-19,Saad,4
79,2025-03-20,Daniyal,2
80,2025-03-21,Daniyal,7
81,2025-03-22,Abdullah,8
82,2025-03-23,Laiba,11
83,2025-03-24,Ali,15
84,2025-03-25,Laiba,7
85,2025-03-26,Hassan,4
86,2025-03-27,Ayesha,10
87,2025-03-28,Fatima,2
88,2025-03-29,Laiba,3
89,2025-03-30,Hira,5
90,2025-03-31,Sara,13
91,2025-04-01,Anaya,9
92,2025-04-02,Ayesha,10
93,2025-04-03,Taha,7
94,2025-04-04,Hira,2
95,2025-04-05,Ali,2
96,2025-04-06,Sara,10
97,2025-04-07,Ayesha,5
98,2025-04-08,Hassan,11
99,2025-04-09,Ali,6
100,2025-04-10,Zain,1
